iter	RMSE
0	18.28842936
1	18.08195602
2	17.84979291
3	17.6690541
4	17.47123883
5	17.29712106
6	17.12550006
7	16.95429086
8	16.73908507
9	16.62149285
10	16.4413659
11	16.26017867
12	16.09363279
13	15.96512774
14	15.78761984
15	15.60013577
16	15.44373637
17	15.33524741
18	15.15949338
19	15.02346746
20	14.90386761
21	14.7114767
22	14.55590468
23	14.42014168
24	14.28094807
25	14.15287995
26	14.05325849
27	13.92903711
28	13.83226417
29	13.68220633
30	13.54141754
31	13.42573295
32	13.29929559
33	13.16446587
34	13.05672673
35	12.93023044
36	12.80953029
37	12.68258417
38	12.5910945
39	12.47018949
40	12.36124311
41	12.24895539
42	12.15635855
43	12.03759391
44	11.94537639
45	11.84507131
46	11.75346979
47	11.67803224
48	11.57461243
49	11.48418362
50	11.36925792
51	11.30768654
52	11.23355691
53	11.14591112
54	11.04990304
55	10.97539044
56	10.90252987
57	10.80449078
58	10.72550855
59	10.64035625
60	10.54061938
61	10.45916831
62	10.39018243
63	10.28724768
64	10.21872628
65	10.13782893
66	10.09248542
67	10.01821079
68	9.960895734
69	9.891560757
70	9.836874196
71	9.745454421
72	9.688504059
73	9.621074654
74	9.573374841
75	9.510872322
76	9.454576511
77	9.371987043
78	9.317386595
79	9.268193551
80	9.209050575
81	9.162809928
82	9.129507274
83	9.075618887
84	8.998949336
85	8.941963432
86	8.888977018
87	8.831237948
88	8.783611144
89	8.721694776
90	8.664211943
91	8.586979204
92	8.521929196
93	8.470235292
94	8.41932453
95	8.353472075
96	8.306830043
97	8.254449432
98	8.208546129
99	8.158282126
100	8.102282734
101	8.05721552
102	8.000722424
103	7.974748237
104	7.918253018
105	7.888937659
106	7.848633823
107	7.805082184
108	7.773192987
109	7.731248129
110	7.702277547
111	7.654359157
112	7.604911725
113	7.552194309
114	7.522851431
115	7.478667895
116	7.425669097
117	7.386784675
118	7.33634817
119	7.294267656
120	7.25972003
121	7.230866272
122	7.197098463
123	7.160881411
124	7.138701627
125	7.107778692
126	7.073345188
127	7.034267883
128	7.005444221
129	6.971867059
130	6.93293157
131	6.903163284
132	6.881114499
133	6.844042764
134	6.806838767
135	6.77590556
136	6.751149823
137	6.720875597
138	6.688157257
139	6.660077639
140	6.621051963
141	6.584224757
142	6.5526803
143	6.514520283
144	6.484149525
145	6.447997849
146	6.422972069
147	6.39452563
148	6.369950162
149	6.327159729
150	6.307215735
151	6.2918914
152	6.259387252
153	6.241423446
154	6.21438597
155	6.179052863
156	6.150600842
157	6.112907362
158	6.096562319
159	6.076876459
160	6.041571165
161	6.014302056
162	5.976332826
163	5.947060489
164	5.910741125
165	5.886816875
166	5.869315906
167	5.853020426
168	5.829368864
169	5.812391167
170	5.795189891
171	5.769658883
172	5.741117393
173	5.709952624
174	5.686557176
175	5.661912163
176	5.630670823
177	5.607027129
178	5.578576091
179	5.55607161
180	5.538345031
181	5.516305796
182	5.486349609
183	5.463227502
184	5.441695527
185	5.418184569
186	5.398325266
187	5.373805664
188	5.349862508
189	5.31990528
190	5.29785866
191	5.273913873
192	5.236313298
193	5.220545142
194	5.207104043
195	5.172641415
196	5.160569425
197	5.13310471
198	5.097427471
199	5.073835664
200	5.045392676
