iter	Passed	Remaining
0	143	142944
1	159	79565
2	164	54578
3	168	42051
4	173	34429
5	176	29274
6	181	25756
7	186	23120
8	190	20973
9	196	19466
10	200	18006
11	205	16885
12	208	15841
13	213	15062
14	218	14318
15	221	13635
16	228	13234
17	234	12768
18	241	12481
19	247	12149
20	256	11974
21	261	11632
22	267	11345
23	272	11081
24	277	10805
25	295	11077
26	301	10850
27	307	10659
28	312	10474
29	315	10210
30	319	9984
31	323	9789
32	329	9654
33	333	9486
34	341	9415
35	345	9256
36	350	9122
37	353	8955
38	368	9089
39	378	9078
40	386	9034
41	389	8892
42	393	8756
43	398	8654
44	403	8571
45	408	8465
46	412	8354
47	416	8266
48	420	8169
49	425	8081
50	430	8014
51	435	7932
52	440	7862
53	444	7789
54	448	7709
55	453	7652
56	459	7608
57	467	7586
58	474	7570
59	481	7538
60	485	7467
61	493	7468
62	499	7424
63	503	7362
64	507	7305
65	512	7256
66	516	7192
67	520	7140
68	525	7084
69	529	7034
70	534	6988
71	538	6940
72	542	6892
73	548	6868
74	555	6845
75	563	6847
76	567	6803
77	571	6751
78	574	6699
79	579	6661
80	582	6613
81	587	6578
82	592	6547
83	598	6525
84	602	6487
85	607	6452
86	614	6448
87	618	6412
88	623	6386
89	628	6354
90	632	6315
91	636	6279
92	641	6253
93	645	6226
94	650	6195
95	655	6168
96	659	6135
97	662	6096
98	665	6056
99	669	6025
100	673	5995
101	677	5960
102	680	5927
103	683	5889
104	687	5856
105	690	5820
106	693	5790
107	696	5756
108	700	5728
109	705	5708
110	709	5678
111	712	5651
112	716	5624
113	720	5602
114	724	5579
115	728	5553
116	732	5529
117	736	5504
118	740	5478
119	743	5450
120	746	5424
121	749	5396
122	754	5376
123	757	5349
124	760	5326
125	764	5305
126	769	5290
127	774	5274
128	778	5257
129	782	5234
130	786	5216
131	790	5194
132	792	5169
133	796	5145
134	801	5135
135	805	5117
136	809	5100
137	813	5079
138	817	5062
139	821	5043
140	824	5020
141	827	5001
142	831	4985
143	835	4966
144	838	4947
145	842	4927
146	846	4909
147	849	4890
148	852	4870
149	856	4851
150	860	4837
151	863	4819
152	867	4800
153	869	4778
154	873	4762
155	877	4746
156	880	4728
157	884	4712
158	887	4696
159	891	4679
160	895	4666
161	899	4653
162	903	4641
163	907	4626
164	911	4612
165	914	4596
166	918	4579
167	923	4571
168	926	4558
169	930	4544
170	933	4527
171	937	4512
172	941	4499
173	945	4487
174	950	4480
175	955	4475
176	961	4468
177	965	4459
178	972	4462
179	978	4457
180	983	4451
181	991	4457
182	996	4449
183	1001	4442
184	1007	4437
185	1013	4434
186	1019	4430
187	1024	4425
188	1027	4410
189	1031	4396
190	1035	4385
191	1039	4376
192	1043	4363
193	1047	4353
194	1050	4338
195	1054	4327
196	1058	4314
197	1061	4301
198	1066	4291
199	1076	4307
200	1106	4399
201	1113	4399
